candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00083,HORA SERVICIO TECNICO,,ERWIN RAMIRO AGUILEF PINUER,"SERVICIOS DE INSTALACIONES ELÉCTRICAS, DE GASFITERÍA Y CONSTRUIÒN",COMPRAS,DTE_033_000000000035_162627155.xml,35,MATERIALES ELECTRICOS; MATERIALES GASFITERIA; VIAJE TECNICO - REFERENCIA : COTIZACION Nº 83,0.8500,Y,EXP-14.4,Electrical and plumbing service; siblings show electrical/gasfiteria materials; building maintenance not machinery.
OQ-00158,MANO DE OBRA MARCELO,MANO DE OBRA MARCELO,LIDIA ANGELICA SANHUEZA FUENTES,COMPRAVENTA MAQUINARIAS SERVICIO TECNICO,COMPRAS,DTE_033_000000081978_111003351.xml,81978,MATERIALES - MATERIALES; MEMB REG CARB MS210 250 - MEMB REG CARB MS210 250; STIHL BUJIA CORTA NGK BPMR7A MS170 A 660 FS SR HS - STIHL BUJIA CORTA NGK BPMR7A MS170 A 660 FS SR H; FILTRO MEZCLA MS170 210 250 39 - FILTRO MEZCLA MS170 210 250 39; MANO DE OBRA MARCELO - MANO DE OBRA MARCELO,0.7000,Y,EXP-13.1,Labor for chainsaw repair; siblings are Stihl MS210/MS170 chainsaw parts
OQ-00190,ACEITE DE CADENA LTS,ACEITE DE CADENA LTS,LIDIA ANGELICA SANHUEZA FUENTES,COMPRAVENTA MAQUINARIAS SERVICIO TECNICO,COMPRAS,DTE_033_000000083106_111003351.xml,83106,ACEITE DE CADENA LTS - ACEITE DE CADENA LTS,0.9000,Y,EXP-13.1,Chain oil lubricant for machinery (chainsaw); rule: aceite/lubricante -> EXP-13.1.
OQ-00224,MANTENCION Y REPARACION,SE ADJUNTA DETALLE,JOHN MARCELO CARRILLO SOLDAN,SERV. DE MANTENCION DE MAQ. E IMPLEM. AGRIC. SOLDADURAS INSTAL.ELECTRI,COMPRAS,DTE_033_000000000352_124308534.xml,352,MANTENCION Y REPARACION - SE ADJUNTA DETALLE,0.8000,Y,EXP-13.1,Maintenance and repair service; giro explicitly states maquinaria e implementos agricolas.
OQ-00317,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,LIDIA ANGELICA SANHUEZA FUENTES,COMPRAVENTA MAQUINARIAS SERVICIO TECNICO,COMPRAS,DTE_033_000000085062_111003351.xml,85062,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD - MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,0.7500,Y,EXP-13.1,Mulching blade for MTD mower is a machinery spare part.
OQ-00471,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_033_000000019927_760703753.xml,19927,MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO - MANO DE OBRA SERVICIO TECNICO GILTRAP EN TERRENO; KILOMETRAJE VISITA TERRENO (considera visita técnica a 2 predios) - KILOMETRAJE VISITA TERRENO (cons,0.8500,Y,EXP-13.1,Technical service/maintenance visit for Gallagher/Giltrap agricultural machinery equipment.
OQ-00472,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_061_000000002894_760703753.xml,2894,OTROS INSUMOS - Trabajo maestranza - OTROS INSUMOS - Trabajo maestranza; MANO DE OBRA SERVICIO TECNICO GILTRAP - MANO DE OBRA SERVICIO TECNICO GILTRAP,0.8500,Y,EXP-13.1,Technical service/maintenance visit for Gallagher/Giltrap agricultural machinery equipment.
OQ-00491,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A",COMPRAS,DTE_033_000000018910_760703753.xml,18910,Platemeter Gear-Electronic-FWG - Platemeter Gear-Electronic-FWG; MANO DE OBRA SERVICIO TECNICO GALLAGHER - MANO DE OBRA SERVICIO TECNICO GALLAGHER,0.8500,Y,EXP-13.1,Gallagher tech labor; sibling Platemeter Gear-Electronic confirms farm equipment repair context.
OQ-00683,3 VIDRIOS,,ROSA ELVIRA SOLIS GUARDA,"REP MANTEN DE VEHIC VTA REP NUEVOS , USADOS ,VIDRIOS,ALUM,PVC ACCES",COMPRAS,DTE_033_000000000689_104160557.xml,689,,0.2500,N,,
OQ-00733,Item,FILTRO AIRE MOTOR ESTACIONARIO,SALINAS Y FABRES S.A.,"VENTA DE MAQUINARIAS, VEHÍCULOS, REPUESTOS, SERVICIO TÉCNICO.",COMPRAS,DTE_033_000005110656_915020003.xml,5110656,"Item - 968042 JD Plus 50 II 15W40 18,9L ** Oferta **; Item - REFRIG 2.5G COOL-GARD II PREMIX ** Oferta **; Item - FILTRO ACEITE MOTOR ** Oferta **; Item - FILTRO DE COMBUSTIBLE ** Oferta **; Item - FILTRO AIRE MOTOR ESTACIONARIO; Item - FILTRO DE AIRE ** Oferta **",0.9000,N,,
