audit_id,category_code,leaf,raw_row_id,source,period,source_file,folio,nro_lin_det,item_text,description,provider,candidate_basis,verdict,audit_reason,promoted_gold_id
WA-001,EXP-15.1,Servicios Agronomicos,26,COMPRAS,2024-12,DTE_033_000000000248_77611880K.xml,248,1,ASESORIA AGROPECUARIA,,SOC ROBERTO AICHELE Y CIA LIMITADA,client_confirmed_provider_and_item,already_gold,Aichele agronomic advisory exact input is already present from the client folder.,
WA-002,ADM-1.2,Comunicaciones e Internet,81,COMPRAS,2025-01,DTE_033_000000003342_766721397.xml,3342,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE FEBRERO DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-00081
WA-003,ADM-1.3,Arriendo Oficina,83,COMPRAS,2025-01,DTE_033_000000003867_764503287.xml,3867,1,Arriendo enero 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-00083
WA-004,EXP-5.1,Concentrado Vacas,93,COMPRAS,2025-01,DTE_033_000000006353_764305752.xml,6353,1,Mipro Pastoreo,//FUNDO MAITEN G/6986 y 6999,SANO - NUTRICION ANIMAL MODERNA SPA,previous_audited_example,already_gold,Maiten Mipro Pastoreo row is already audited gold.,
WA-005,EXP-5.1,Concentrado Vacas,94,COMPRAS,2025-01,DTE_033_000000006353_764305752.xml,6353,2,Mipro Pastoreo,//FUNDO YUTRECO G/7003,SANO - NUTRICION ANIMAL MODERNA SPA,contradictory_prior_audits,needs_client,Same product invoice was previously labeled across cow/calf/other-animal feed; farm name is not enough.,
WA-006,EXP-10.2,Diping,117,COMPRAS,2025-01,DTE_033_000000023230_761757865.xml,23230,1,FULLDIP 5000 PROMOCION 230 KG,,GEA Farm Technologies Osorno Ltda.,explicit_dip_product,already_gold,FULLDIP with GEA is already client-confirmed gold.,
WA-007,ADM-1.8,Asesoria Contable,137,COMPRAS,2025-01,DTE_033_000000023715_762585154.xml,23715,1,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Enero de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-00137
WA-008,ADM-1.8,Asesoria Contable,138,COMPRAS,2025-01,DTE_033_000000023715_762585154.xml,23715,2,LICENCIA AUDISOFT,Audisoft Basico Periodo Enero de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-00138
WA-009,ADM-2.2,Seguros Trabajadores,327,COMPRAS,2025-01,DTE_033_000000622975_990120005.xml,622975,2,Periodo de Cobertura enero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-00327
WA-010,ADM-1.2,Comunicaciones e Internet,434,COMPRAS,2025-01,DTE_033_000002853135_871611009.xml,2853135,1,Programación Principal,,DIRECTV Chile TelevisiÃ³n Limitada,explicit_television_service,promote,DIRECTV programming/decoder charges explicitly identify a communications service.,MA-00434
WA-011,ADM-1.2,Comunicaciones e Internet,435,COMPRAS,2025-01,DTE_033_000002853135_871611009.xml,2853135,2,Decodificadores Adicionales,,DIRECTV Chile TelevisiÃ³n Limitada,explicit_television_service,promote,DIRECTV programming/decoder charges explicitly identify a communications service.,MA-00435
WA-012,ADM-1.2,Comunicaciones e Internet,436,COMPRAS,2025-01,DTE_033_000002853135_871611009.xml,2853135,3,Otros Cargos,,DIRECTV Chile TelevisiÃ³n Limitada,explicit_television_service,promote,DIRECTV programming/decoder charges explicitly identify a communications service.,MA-00436
WA-013,EXP-6.4,Guano,583,COMPRAS,2025-01,DTE_033_000028086727_810941006.xml,28086727,1,GUANO DE GALLINA FUNDO,GUANO DE GALLINA FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_chicken_manure,promote,Item explicitly says GUANO DE GALLINA; client product mapping confirms the category.,MA-00583
WA-014,ADM-1.4,Movilizacion,723,COMPRAS,2025-01,DTE_034_000006242569_898622002.xml,6242569,1,Vuelo Tasas y/o impuestos,Vuelo Tasas y/o impuestos,LATAM AIRLINES GROUP SA,explicit_airfare_tax,promote,Airfare taxes are part of administration travel/mobilization.,MA-00723
WA-015,ADM-1.2,Comunicaciones e Internet,799,COMPRAS,2025-02,DTE_033_000000003401_766721397.xml,3401,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE MARZO DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-00799
WA-016,ADM-1.3,Arriendo Oficina,803,COMPRAS,2025-02,DTE_033_000000003980_764503287.xml,3980,1,Arriendo febrero 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-00803
WA-017,EXP-6.4,Guano,804,COMPRAS,2025-02,DTE_033_000000005899_774562605.xml,5899,1,APLICACION KG GUANO TEBBE,APLICACION KG GUANO TEBBE,Servicios Bergström Limitada,explicit_manure_application,already_gold,Tebbe manure application exact input is already gold.,
WA-018,ADM-2.2,Seguros Trabajadores,1062,COMPRAS,2025-02,DTE_033_000000628741_990120005.xml,628741,2,Periodo de Cobertura febrero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-01062
WA-019,EXP-6.3,Cal,1147,COMPRAS,2025-02,DTE_033_000001393253_967728101.xml,1393253,1,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,explicit_agricultural_lime,already_gold,Exact agricultural-lime input is already gold.,
WA-020,EXP-6.1,Fosforo,1350,COMPRAS,2025-02,DTE_033_000028273617_810941006.xml,28273617,1,SUPERFOSFATO TRIPLE FUNDO,SUPERFOSFATO TRIPLE FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_phosphorus_fertilizer,promote,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",MA-01350
WA-021,EXP-6.1,Fosforo,1353,COMPRAS,2025-02,DTE_033_000028273617_810941006.xml,28273617,4,FOSFATO MONOAMONICO FUNDO,FOSFATO MONOAMONICO FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_phosphorus_fertilizer,promote,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",MA-01353
WA-022,ADM-1.5,Colacion y Alojamiento,1460,COMPRAS,2025-03,DTE_033_000000000076_778105284.xml,76,1,Almuerzo,,GASTRONOMICA PARRAGUEZ Y ASOCIADOS SPA,explicit_meal,promote,Item explicitly identifies an administration meal.,MA-01460
WA-023,ADM-1.9,Asesoria Legal,1465,COMPRAS,2025-03,DTE_033_000000000134_771713130.xml,134,1,Representacion Casub RBM,,AWÜA CONSULTORES SPA,legal_provider_giro_and_item,already_gold,Legal representation from a provider whose XML giro is legal advisory; already in gold.,
WA-024,EXP-6.3,Cal,1490,COMPRAS,2025-03,DTE_033_000000000643_763019918.xml,643,1,Aplicación Cal,,SAN BLAS FERTILIZACION SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-01490
WA-025,ADM-1.2,Comunicaciones e Internet,1517,COMPRAS,2025-03,DTE_033_000000003449_766721397.xml,3449,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE ABRIL DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-01517
WA-026,ADM-1.3,Arriendo Oficina,1520,COMPRAS,2025-03,DTE_033_000000004041_764503287.xml,4041,1,Arriendo marzo 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-01520
WA-027,EXP-6.3,Cal,1525,COMPRAS,2025-03,DTE_033_000000005949_774562605.xml,5949,3,Ton Aplicación Cal,Ton Aplicación Cal,Servicios Bergström Limitada,explicit_agricultural_lime,already_gold,Exact agricultural-lime input is already gold.,
WA-028,EXP-6.3,Cal,1550,COMPRAS,2025-03,DTE_033_000000023898_761757865.xml,23898,2,HORA TECNICA CAL,,GEA Farm Technologies Osorno Ltda.,ambiguous_cal_abbreviation,reject,"GEA technical/emergency 'CAL' is a service-call abbreviation, not agricultural lime.",
WA-029,ADM-2.2,Seguros Trabajadores,1702,COMPRAS,2025-03,DTE_033_000000633520_990120005.xml,633520,2,Periodo de Cobertura marzo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-01702
WA-030,EXP-6.1,Fosforo,2070,COMPRAS,2025-03,DTE_033_000000000033_779509370.xml,33,7,TINEO FERTILIZACION MAP,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,explicit_map_fertilization,promote,MAP fertilization explicitly identifies monoammonium-phosphate use.,MA-02070
WA-031,ADM-1.3,Arriendo Oficina,2139,COMPRAS,2025-04,DTE_033_000000004180_764503287.xml,4180,1,Arriendo abril 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-02139
WA-032,EXP-10.2,Diping,2143,COMPRAS,2025-04,DTE_033_000000009530_761804944.xml,9530,1,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO YUTRECO,BIOGENESIS ANIMAL HEALTH SPA,explicit_dip_product,promote,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,MA-02143
WA-033,EXP-10.2,Diping,2144,COMPRAS,2025-04,DTE_033_000000009536_761804944.xml,9536,1,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO EL MAITEN,BIOGENESIS ANIMAL HEALTH SPA,explicit_dip_product,promote,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,MA-02144
WA-034,EXP-6.3,Cal,2172,COMPRAS,2025-04,DTE_033_000000024074_761757865.xml,24074,2,SERVICIO EMERGENCIA CAL,,GEA Farm Technologies Osorno Ltda.,ambiguous_cal_abbreviation,reject,"GEA technical/emergency 'CAL' is a service-call abbreviation, not agricultural lime.",
WA-035,ADM-2.2,Seguros Trabajadores,2383,COMPRAS,2025-04,DTE_033_000000638229_990120005.xml,638229,2,Periodo de Cobertura abril 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-02383
WA-036,EXP-2.1,Terapias Secado,2565,COMPRAS,2025-04,DTE_033_000004943641_823926006.xml,4943641,1,ORBENIN E.D.C CAJA 36 JER SECADO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,explicit_dry_cow_therapy,promote,ORBENIN E.D.C. explicitly identifies dry-cow therapy.,MA-02565
WA-037,EXP-5.2,Concentrado Crianza,2728,COMPRAS,2025-04,DTE_033_000028534347_810941006.xml,28534347,1,T. SURALIM CRECIMIENTO RF X 25 KG,T. SURALIM CRECIMIENTO RF X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_calf_concentrate,promote,SURALIM inicial/crecimiento explicitly identifies calf starter/grower concentrate.,MA-02728
WA-038,EXP-15.2,Servicios Veterinarios,2965,COMPRAS,2025-05,DTE_033_000000000007_781131369.xml,7,1,PODOLOGÍA CLÍNICA BOVINA,Servicio realizado 15 abril 2025 por Roberto Molina,MOLINA MANNS SPA,explicit_bovine_podology_service,already_gold,These bovine podology services already exist as audited gold examples.,
