gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,direction_evidence,raw_row_id
MA-00081,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE FEBRERO DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,81
MA-00083,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo enero 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,83
MA-00137,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Enero de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,137
MA-00138,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,LICENCIA AUDISOFT,Audisoft Basico Periodo Enero de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,138
MA-00327,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura enero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,327
MA-00434,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Programación Principal,,DIRECTV Chile TelevisiÃ³n Limitada,,DIRECTV programming/decoder charges explicitly identify a communications service.,,COMPRAS,raw_xml_source,434
MA-00435,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Decodificadores Adicionales,,DIRECTV Chile TelevisiÃ³n Limitada,,DIRECTV programming/decoder charges explicitly identify a communications service.,,COMPRAS,raw_xml_source,435
MA-00436,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Otros Cargos,,DIRECTV Chile TelevisiÃ³n Limitada,,DIRECTV programming/decoder charges explicitly identify a communications service.,,COMPRAS,raw_xml_source,436
MA-00583,EXP-6.4,Guano,manual_raw_starving_audit,GUANO DE GALLINA FUNDO,GUANO DE GALLINA FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,Item explicitly says GUANO DE GALLINA; client product mapping confirms the category.,,COMPRAS,raw_xml_source,583
MA-00723,ADM-1.4,Movilizacion,manual_raw_starving_audit,Vuelo Tasas y/o impuestos,Vuelo Tasas y/o impuestos,LATAM AIRLINES GROUP SA,,Airfare taxes are part of administration travel/mobilization.,,COMPRAS,raw_xml_source,723
MA-00799,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE MARZO DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,799
MA-00803,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo febrero 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,803
MA-01062,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura febrero 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,1062
MA-01350,EXP-6.1,Fosforo,manual_raw_starving_audit,SUPERFOSFATO TRIPLE FUNDO,SUPERFOSFATO TRIPLE FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",,COMPRAS,raw_xml_source,1350
MA-01353,EXP-6.1,Fosforo,manual_raw_starving_audit,FOSFATO MONOAMONICO FUNDO,FOSFATO MONOAMONICO FUNDO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",,COMPRAS,raw_xml_source,1353
MA-01460,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,Almuerzo,,GASTRONOMICA PARRAGUEZ Y ASOCIADOS SPA,,Item explicitly identifies an administration meal.,,COMPRAS,raw_xml_source,1460
MA-01490,EXP-6.3,Cal,manual_raw_starving_audit,Aplicación Cal,,SAN BLAS FERTILIZACION SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,1490
MA-01517,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE ABRIL DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,1517
MA-01520,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo marzo 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,1520
MA-01702,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura marzo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,1702
MA-02070,EXP-6.1,Fosforo,manual_raw_starving_audit,TINEO FERTILIZACION MAP,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,,MAP fertilization explicitly identifies monoammonium-phosphate use.,,COMPRAS,raw_xml_source,2070
MA-02139,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo abril 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,2139
MA-02143,EXP-10.2,Diping,manual_raw_starving_audit,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO YUTRECO,BIOGENESIS ANIMAL HEALTH SPA,,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,,COMPRAS,raw_xml_source,2143
MA-02144,EXP-10.2,Diping,manual_raw_starving_audit,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO EL MAITEN,BIOGENESIS ANIMAL HEALTH SPA,,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,,COMPRAS,raw_xml_source,2144
MA-02383,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura abril 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,2383
MA-02565,EXP-2.1,Terapias Secado,manual_raw_starving_audit,ORBENIN E.D.C CAJA 36 JER SECADO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,ORBENIN E.D.C. explicitly identifies dry-cow therapy.,,COMPRAS,raw_xml_source,2565
MA-02728,EXP-5.2,Concentrado Crianza,manual_raw_starving_audit,T. SURALIM CRECIMIENTO RF X 25 KG,T. SURALIM CRECIMIENTO RF X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,SURALIM inicial/crecimiento explicitly identifies calf starter/grower concentrate.,,COMPRAS,raw_xml_source,2728
MA-02966,EXP-15.2,Servicios Veterinarios,manual_raw_starving_audit,PODOLOGÍA CLINICA BOVINA,Servicio realizado 25 abril 2025 por Roberto Molina,MOLINA MANNS SPA,,Distinct clinical/corrective bovine podology service descriptions from a veterinary-service provider.,,COMPRAS,raw_xml_source,2966
MA-02968,EXP-15.2,Servicios Veterinarios,manual_raw_starving_audit,PODOLOGIA CORRECTIVA,8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVICIOS REALIZADOS POR ROBERTO MOLINA,MOLINA MANNS SPA,,Distinct clinical/corrective bovine podology service descriptions from a veterinary-service provider.,,COMPRAS,raw_xml_source,2968
MA-02999,EXP-6.3,Cal,manual_raw_starving_audit,RIEGO CAL PRADERAS 30 TON,APLICACION MAS CARGUIO,SERVICIOS AGRICOLAS CORPAL SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,2999
