new_code,parent,leaf,description,color_note,excluded_reason
ING-0.1,INGRESOS DE EXPLOTACION,VENTA DE LECHE,MILK SALES | enviar facturas colun 12 meses,,
ING-0.2,INGRESOS DE EXPLOTACION,VENTA DE VACAS,COW SALES,,
ING-0.3,INGRESOS DE EXPLOTACION,VENTA VAQUILLAS,HEIFER SALES,,
ING-0.4,INGRESOS DE EXPLOTACION,VENTA TERNEROS,CALVES SALES,,
ING-0.5,INGRESOS DE EXPLOTACION,VENTA DE OTROS ANIMALES,OTHER CATEGORY OF ANIMALS SALES,,
ING-0.6,INGRESOS DE EXPLOTACION,VENTA LEÑA,"very eventual, not normally used. Wood sales | codigo audysoft | practicamente no la usamos",,
EXP-1.1,REMUNERACIONES OPERACIONES,Otros Gastos RRHH,"trainings and education for staff, staff events, food for staff meetings. Does not include lunches & food for managing positions | Capacitaciones, eventos, regalias colaciones personal (no gerencia), etc | All wages and salaries paid to farm employees",,
EXP-2.1,SALUD ANIMAL,Terapias Secado,"Dry cow therapy (veterinary products), antibiotics | enviar algunos nombres de terapias que hemos usado | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-2.2,SALUD ANIMAL,Medicamentos Mastitis,"Mastitis drugs medicaments | CMT, medicamentos pomos | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-2.3,SALUD ANIMAL,Vacunas,"Vaccines | de acuerdo a protocolo sanitario. Cattle master, leptospira, etc | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-2.4,SALUD ANIMAL,Sales Minerales,"Cattle mineral salts | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-2.5,SALUD ANIMAL,Otros Medicamentos,"Other animal medicines not specifically classified as mastitis drugs, vaccines, dry-cow therapy, mineral salts, or reproduction supplies. | ket10, pederol, etc | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-2.6,SALUD ANIMAL,Otros Gastos Salud Animal,"ear tags, syrings, needles, | Aretes, elementos partos, tacos, pegamento, agujas, jeringas | Vet bills, animal remedies, drenches, vaccines, and other health-related costs for the herd. Includes animal health supplies for calves and cows.",,
EXP-3.1,REPRODUCCION,Inseminacion Artificial,"Semen, reproductive hormones, pipettes, artificial insemination supplies, pregnancy/breeding services, and bull hire. | semen, hormonas, pipetas, etc. Arriendo toros | semen, hormonas | Artificial breeding (AB) fees, herd testing, pregnancy testing, bull hire, and related costs. May also include DNA testing and anoestrous treatments. | ?? Meterlo en salud animal?",,
EXP-4.1,ALIMENTOS CONFECCIONADOS,Parva Silo,"Contractors for pile silage, plastics | servicios agricolas parva, plasticos parva | The cost of ""supplements made at the farm"" covers all expenses involved in producing these feeds. This includes contractor costs for raking, baling, and wrapping (for baleage or silage), as well as incidentals like transport of feed back to the milking area. For example, a budget might include the cost of making 400 bales of baleage, covering all contractor and handling costs.",,
EXP-4.2,ALIMENTOS CONFECCIONADOS,Bolos Silo,"contractors for bale silage, plastics | servicios agricolas confeccion bolos, plastico, traslados | plasticos pueden ser para diferentes categorias, como automatizar? | The cost of ""supplements made at the farm"" covers all expenses involved in producing these feeds. This includes contractor costs for raking, baling, and wrapping (for baleage or silage), as well as incidentals like transport of feed back to the milking area. For example, a budget might include the cost of making 400 bales of baleage, covering all contractor and handling costs.",,
EXP-4.3,ALIMENTOS CONFECCIONADOS,Bolos Heno,"contractos for hey silage, plastics | servicios agricolas pasto seco bolos, plastico | The cost of ""supplements made at the farm"" covers all expenses involved in producing these feeds. This includes contractor costs for raking, baling, and wrapping (for baleage or silage), as well as incidentals like transport of feed back to the milking area. For example, a budget might include the cost of making 400 bales of baleage, covering all contractor and handling costs.",,
EXP-5.1,ALIMENTOS COMPRADOS,Concentrado Vacas,"concentrate or maiz for cows | concentrado vacas, maiz roleados",,
EXP-5.2,ALIMENTOS COMPRADOS,Concentrado Crianza,"concentrate for calves | conc inicial, crecimiento",,
EXP-5.3,ALIMENTOS COMPRADOS,Concentrado Otros Animales,concentrate for other animals,,
EXP-5.4,ALIMENTOS COMPRADOS,Bolos,silage bales bought. For control of inventory this mas be addes to bolos silo made at farm. Its the same product but one is made at farm and the other is bought from other farms. | compra de bolos de silo,,
EXP-5.5,ALIMENTOS COMPRADOS,Sustituto Lacteo,Milk replacer for calves (sustituto lacteo). Powdered or liquid milk substitute fed to calves instead of whole milk.,,
EXP-6.1,FERTILIZANTES Y ENMIENDAS,Fosforo,"phosphorus base fertilizers | fertilizantes fosfatados: Fosfato monoamonico, fosfato diamonico, superfosfato triple, trefos | Fertilizers and soil amendments",,
EXP-6.2,FERTILIZANTES Y ENMIENDAS,Nitrogeno,"nitrogen based fertilizers | diferentes tipos de urea (smart, 40, smart blue), Can27, qrop adhero, Amintec. Fertilizantes base nitrogeno | Fertilizers and soil amendments",,
EXP-6.3,FERTILIZANTES Y ENMIENDAS,Cal,"lime | cal iansa, cal colun | Fertilizers and soil amendments",,
EXP-6.4,FERTILIZANTES Y ENMIENDAS,Guano,Hen manure | Fertilizers and soil amendments,,
EXP-6.5,FERTILIZANTES Y ENMIENDAS,Otros Fertilizantes,"other fertilizers, soil & plant improvers | muriato potasio, vitramag, etc | Fertilizers and soil amendments",,
EXP-7.0,AGROQUIMICOS,AGROQUIMICOS,"Chemicals, sprays, and contracting for weed and pest control on pastures and crops.",,
EXP-8.1,PRADERA,Pradera Perenne,"Perennial grass establishment | Semillas perenne, servicio agricola siembra, preparacion suelo | mismos insumos pueden tener diferente categorizacion | Costs for pasture renewal: seed, spray, cultivation, drilling, and related contracting. Excludes fuel and vehicle costs.",,
