gold_id,old_category_code,new_category_code,leaf,source,item_text,description,provider,disposition,authority,audit_reason
SA-00402,EXP-6.2,EXP-6.2,Nitrogeno,file_audit,SMARTBLUE X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00403,EXP-6.2,EXP-6.2,Nitrogeno,file_audit,SMARTBLUE X 25 KG,SMARTBLUE X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00404,EXP-6.1,EXP-6.1,Fosforo,file_audit,TREFOS PLUS MAXI PF YARA (SF3)-FERTILIZANTES(B)-ME,,COMPAA AGROPECUARIA COPEVAL S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00405,EXP-2.4,,,file_audit,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA,quarantine,locked_399_row_manual_review,Mipro Pastoreo Skyline has contradictory prior category labels and needs client resolution.
SA-00409,EXP-2.6,EXP-2.6,Otros Gastos Salud Animal,file_audit,VENDAS COADHESIVASMOO WARP,VENDAS COADHESIVASMOO WARP,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00410,EXP-2.6,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE DESECHABLE TYVEK DUPONT M,TRAJE DESECHABLE TYVEK DUPONT M,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Tyvek size variants follow the row-level client product family label for work clothing/EPP.
SA-00411,EXP-2.6,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE DESECHABLE TYVEK DUPONT L,TRAJE DESECHABLE TYVEK DUPONT L,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Tyvek size variants follow the row-level client product family label for work clothing/EPP.
SA-00412,EXP-2.6,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE DESECHABLE TYVEK DUPONT XXL,TRAJE DESECHABLE TYVEK DUPONT XXL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Tyvek size variants follow the row-level client product family label for work clothing/EPP.
SA-00413,EXP-2.6,EXP-14.2,Mantencion Cercos,file_audit,ALAMBRE PUAS MOTTO 500 MTR.,ALAMBRE PUAS MOTTO 500 MTR.,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Client product rule for the same MOTTO barbed-wire family overrides the unrelated invoice folder.
SA-00414,EXP-2.6,,,file_audit,SPRAY (PULVERIZADOR MANUAL 500 CC),SPRAY (PULVERIZADOR MANUAL 500 CC),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,quarantine,locked_399_row_manual_review,Generic manual spray bottle has no row-level evidence proving an animal-health use.
