row_id,item_text,provider,prediction,top1,reason
13,SERVICIO DE TRASLADO,GABRIEL ALEJANDRO CASTILLO JOHANSEN,EXP-14.1,0.801685,transport service filed as road maintenance; the line describes the movement not the cargo
327,Periodo de Cobertura enero 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.960177,insurance cover period; the type of cover is not stated
357,WD-40 187CC. 52025 (20% ADICIONAL),COMERCIAL CLIMENT SPA,EXP-7.0,0.803589,penetrating lubricant filed as an agrochemical; no client evidence for this label
369,WD-40 226 GRS,COMERCIAL HARCHA SPA,EXP-7.0,0.936316,penetrating lubricant filed as an agrochemical; no client evidence for this label
440,Comisión por Transferencia Electrónica d,BANCO BICE,ADM-1.8,0.76221,bank transfer fee filed as accounting advisory
441,Renta de Arrendamiento Nº7 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.848525,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
442,Renta de Arrendamiento Nº10 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.838188,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
444,Renta de Arrendamiento Nº1 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.818374,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
445,Renta de Arrendamiento Nº32 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.834502,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
446,Renta de Arrendamiento Nº27 del contrato Nº23221-2,BANCO BICE,ADM-1.7,0.847225,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
447,Renta de Arrendamiento Nº1 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.826798,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
448,Renta de Arrendamiento Nº68 del contrato Nº16380-1,BANCO BICE,ADM-1.7,0.831322,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
509,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.944068,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
