input_id,item,was_code,now_code,proof,amount
COMPRAS|48654495|42555|2,CODO 1/2,EXP-2.2,EXP-14.3,"a bare pipe fitting is not mineral salts, an agrochemical or mastitis medicine",832
COMPRAS|48654495|42555|3,COPLA 20MM,EXP-2.4,EXP-14.3,"a bare pipe fitting is not mineral salts, an agrochemical or mastitis medicine",378
COMPRAS|48654495|43200|2,CODO 25MM,EXP-2.4,EXP-14.3,"a bare pipe fitting is not mineral salts, an agrochemical or mastitis medicine",193
COMPRAS|48654495|43200|3,COPLA 25MM,EXP-2.4,EXP-14.3,"a bare pipe fitting is not mineral salts, an agrochemical or mastitis medicine",176
COMPRAS|66554732|207150|1,ABRAZADERA CON PERNO 60MM-63MM -@,EXP-1.1,EXP-14.4,"a bolted clamp is hardware, not a staff cost",11600
COMPRAS|66554732|207749|2,TVNC TORNILLO VOLCANITA NEGRO 2 1 2 CJ 100UN -@,ADM-1.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",1496
COMPRAS|66554732|215286|13,FU-TERMINAL HI 1 2 X 20MM METALICO PEGAR PPR -@,EXP-2.4,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",798
COMPRAS|66554732|218817|2,T1 TUERCA HILO-CORRIENTE 1 4 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",630
COMPRAS|66554732|219194|8,T1 TUERCA HILO-CORRIENTE 3 8 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",272
COMPRAS|66554732|219195|1,19TIRA FIERRO REDONDO LISO 19MM 3 4 -@,EXP-2.4,EXP-14.4,"round bar stock is a building material, not a mineral salt",16714
COMPRAS|66554732|220687|2,T1 TUERCA HILO-CORRIENTE 3 8 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",5460
COMPRAS|66554732|220857|7,PL-TERMINAL HE 1 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",2976
COMPRAS|66554732|221820|2,T1 TUERCA HILO-CORRIENTE 3 8 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",1680
COMPRAS|66554732|222407|2,FU-TERMINAL HI 1 2 X 25 MM METALICO PEGAR PPR -@,EXP-2.4,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",4120
COMPRAS|66554732|223347|4,T1 TUERCA HILO-CORRIENTE 3 8 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",2520
COMPRAS|66554732|223972|1,T1 TUERCA HILO-CORRIENTE 3 8 -@,EXP-5.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",1260
